Country,Deaths,Guns
Brazil,19.01,8
Canada,4.78,30.8
Qatar,0.18,19.2
Italy,1.28,11.9
Peru,1.87,18.8
Kuwait,1.25,24.8
Panama,12.92,21.7
Lithuania,1.61,.7
Costa Rica,3.32,9.9
Malta,2.16,11.9
France,3.00,31.2
Georgia,1.54,7.3
Slovakia,1.75,8.3
Swaziland,37.16,6.4
Argentina,5.65,10.2
Norway,1.78,31.3
Czech Republic,1.76,16.3
Israel,1.86,7.3
Australia,1.05,15
Singapore,0.24,.5
El Salvador,50.36,5.8
Iceland,1.25,30.3
Montenegro,8.55,23.1
Slovenia,2.44,13.5
Guatemala,38.52,13.1
Zimbabwe,4.75,4.6
Germany,1.10,30.3
Chile,0.06,10.7
Belgium,2.43,17.2
Philippines,9.46,4.7
Spain,0.63,10.4
Ukraine,0.35,6.6
Ireland,1.03,8.6
Netherlands,0.46,3.9
Jamaica,47.44,8.1
Denmark,1.45,12
Poland,0.26,1.3
Finland,3.64,32
Moldova,1.04,7.1
United States,9.00,88.8
Sweden,1.47,31.6
Belarus,0.38,7.3
Croatia,3.01,21.7
Luxembourg,1.81,15.3
Hungary,0.85,5.5
Switzerland,6.40,45.7
New Zealand,2.66,22.6
Serbia,3.90,58.2
Taiwan,0.42,4.6
Bulgaria,1.35,6.2
Kyrgyzstan,1.01,.9
Mauritius,0.19,14.7
Romania,0.20,.7
Honduras,46.70,6.2
Estonia,2.54,9.2
Portugal,1.77,8.5
Uruguay,3.24,31.8
Nicaragua,7.14,7.7
Mexico,11.14,15
India,0.93,4.2
Azerbaijan,0.07,3.5
South Africa,9.41,12.7
Uzbekistan,0.68,1.5
Austria,2.94,30.4
Latvia,1.43,19
Colombia,28.11,5.9
Greece,1.5,22.5
Paraguay,7.35,17
Japan,0.07,.6
South Korea,0.13,1.1
Cyprus,0.83,36.4
Barbados,3,7.8
